,Validation_loss,Training_loss
0,-0.8201697945594788,-0.8926968430226122
1,-0.8375474333763122,-1.272800165896772
2,-0.8710786253213882,-1.347349924099238
3,-0.9044565916061401,-1.3835425744159195
4,-0.9175242811441422,-1.406182694337507
5,-0.9169035315513611,-1.4224378032840506
6,-0.9257188946008682,-1.435557254139208
7,-0.929350084066391,-1.4458476451426714
8,-0.9526762634515762,-1.4543518873661787
9,-0.9590155333280563,-1.461347781403892
10,-0.9396385967731475,-1.4678586945929084
11,-0.9680539697408677,-1.4724179362323413
12,-0.9749413549900054,-1.4773183660839084
13,-0.9647604107856751,-1.4813719796304694
14,-0.9754915684461594,-1.4852337047777986
15,-0.9646258115768432,-1.4889933216169156
16,-0.973446735739708,-1.4916806817664827
17,-0.9789316654205322,-1.4949323135364263
18,-0.9797641605138778,-1.4978851481372282
19,-0.9728662610054016,-1.5006939167864124
20,-0.9771275699138642,-1.5033261951672994
21,-0.9749879598617553,-1.5054765052658752
22,-0.9846999138593674,-1.507633187143683
23,-0.9801334023475647,-1.510016567997459
24,-0.9833976656198502,-1.511968753476958
25,-0.9771969228982925,-1.5138407639373654
26,-0.9911196261644364,-1.5160119096722793
27,-0.9947498440742493,-1.5176584297217268
28,-0.978704246878624,-1.5193734793726472
29,-0.9943375647068023,-1.5209587706270091
30,-0.9859842777252197,-1.5223777652884944
31,-0.9985891163349152,-1.5240725714450238
32,-0.987756809592247,-1.525092839950671
33,-0.999299681186676,-1.5262172485691254
34,-0.9886373847723007,-1.52788556403001
35,-0.9847005695104599,-1.5292890365926612
36,-0.9867079436779023,-1.5307973003436257
37,-0.9779656141996383,-1.5323856816443109
38,-0.9615120679140091,-1.5345961444819596
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
