,RMSE,NRMSE,ND,MAPE,sMAPE,QuantileLoss,Quantile
0,2359.5273,0.9378014981731324,0.09697666685214479,0.1700662306339951,0.14326567085323383,0.035879696239828514,0.1
1,2034.8605,0.8087616385548154,0.08153420216585454,0.15809710229325424,0.12060206244830567,0.05202606365079239,0.2
2,1879.0923,0.746851086465654,0.07527348086793163,0.156485609661578,0.11222380488508389,0.06212766591680511,0.3
3,1785.4583,0.7096359480819103,0.07236060656645549,0.15860002504767984,0.10854952857075294,0.06833418123332353,0.4
4,1723.2894,0.6849267554842418,0.07142625389835269,0.16327820108823504,0.10761610136081376,0.07142625389835269,0.5
5,1689.8776,0.6716471054913932,0.07197935628492619,0.1702703501896692,0.10891540828303921,0.0714160393531583,0.6
6,1682.1968,0.6685943530994454,0.07412299981717156,0.18037841163052518,0.11234816347046185,0.06789919528991556,0.7
7,1722.2346,0.684507518132343,0.07903402993616902,0.1964668199633684,0.11939979439346111,0.05989482065590364,0.8
8,1904.5513,0.7569698391692764,0.09197236773422575,0.22935328807247338,0.13615784196448455,0.04464371639865078,0.90000004
