,RMSE,NRMSE,ND,MAPE,sMAPE,QuantileLoss,Quantile
0,2323.6135,0.9235274391113663,0.08944362524940183,0.1553277452152105,0.13349686894994175,0.03311331653431478,0.1
1,2036.2507,0.8093142012444087,0.07598249748942112,0.14600122586600908,0.11398390779373853,0.04863676560599677,0.2
2,1897.4738,0.7541568589093832,0.07094907830621378,0.1453552602490695,0.10719575310154605,0.05867377842783444,0.3
3,1810.4176,0.7195561197785518,0.06890730863294674,0.14797743923443368,0.10500560940424733,0.06509066568098293,0.4
4,1751.4208,0.6961076473046061,0.06843568413605615,0.1527834299883216,0.10529585417526598,0.06843568413605615,0.5
5,1709.9905,0.679641046272043,0.06918838747969677,0.159673002408148,0.10720647178025021,0.06882038563551429,0.6
6,1689.5754,0.6715270253564609,0.07140596391655604,0.16950853248951883,0.11057272323697832,0.06602534293580072,0.7
7,1703.5077,0.677064441938368,0.07619756599709064,0.18471648139960342,0.11712165821926082,0.05919252099214898,0.8
8,1815.8442,0.7217129530708396,0.08811486660148435,0.2153786223303479,0.1325664094537591,0.04556708280008373,0.90000004
