,RMSE,NRMSE,ND,MAPE,sMAPE,QuantileLoss,Quantile
0,2360.6772,0.9382585304442683,0.09078817603463671,0.14988299267788577,0.1322717169661025,0.032351233297032614,0.1
1,2069.2341,0.8224235557731715,0.07761470497054872,0.14018310470980397,0.11267943396605364,0.04819236333574455,0.2
2,1919.5154,0.76291737186455,0.07225518875048688,0.13903879462897928,0.10529278993363803,0.05839351435998124,0.3
3,1820.1572,0.7234271637081833,0.06966312535936386,0.14106697733841358,0.10210742464122147,0.06498418799002657,0.4
4,1747.2292,0.6944417113073665,0.06855211140345996,0.14515905014156927,0.10127310883120341,0.06855211140345996,0.5
5,1690.5298,0.6719063330311681,0.06853535213021623,0.15118673885509523,0.10225059342582539,0.06916467940106465,0.6
6,1648.4219,0.6551704128757732,0.06978445454858599,0.15986781769594952,0.1054610310818003,0.06653416904476117,0.7
7,1631.5493,0.6484643618655378,0.07328269118157513,0.17370177074494003,0.11218596411838826,0.059778221158814315,0.8
8,1697.6282,0.6747276097367475,0.08314929929014872,0.20221050697659274,0.12757395130645338,0.04587869929491816,0.90000004
