,Validation_loss,Training_loss
0,-0.41575968116521833,-1.1015955411401046
1,-0.5979214638471604,-1.3920924398769743
2,-0.6368965238332749,-1.4547206270780144
3,-0.7176512449979782,-1.5010508280571553
4,-0.7356235146522522,-1.5274937649466243
5,-0.7603899747133255,-1.5470216381635247
6,-0.8018726855516434,-1.5627660546356483
7,-0.8494623243808747,-1.5745704996427226
8,-0.8278278201818466,-1.5855138594686924
9,-0.8597059518098831,-1.594970028500474
10,-0.8751481711864472,-1.6027093404635193
11,-0.8811906307935715,-1.6093012452003534
12,-0.8906491577625275,-1.61545547785022
13,-0.8884126722812653,-1.6212174215238682
14,-0.9012432128190995,-1.6252674759959491
15,-0.9105228245258331,-1.630287143322682
16,-0.9074019908905029,-1.6343804159818434
17,-0.9162548273801804,-1.6383399727888703
18,-0.9186961323022842,-1.6426244941192127
19,-0.9285688459873199,-1.6450491007665284
20,-0.9318586051464081,-1.6481562196415303
21,-0.9347086668014526,-1.651188045221561
22,-0.9385748863220215,-1.6537614516616477
23,-0.9383203148841858,-1.6560229499850083
24,-0.9411726355552673,-1.6587087467480583
25,-0.945989391207695,-1.6608282338633387
26,-0.9467014014720917,-1.6628534973216764
27,-0.9463398635387421,-1.664642357655411
28,-0.9315136104822159,-1.6662241038670926
29,-0.9273876845836639,-1.6682702766592208
30,-0.919482421875,-1.669911913886407
31,-0.9103336483240128,-1.6713244092623067
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
