,RMSE,NRMSE,ND,MAPE,sMAPE,QuantileLoss,Quantile
0,2835.6802,1.1270499255842783,0.1168445931802344,0.1724761836997891,0.15578998018954057,0.03377569534423415,0.1
1,2502.0964,0.9944660281411556,0.09859508933421303,0.16384827210392108,0.1345552841576459,0.05251577557677072,0.2
2,2326.0476,0.924494872602497,0.09007611227255745,0.1639078391098779,0.12760992023827572,0.06583753308797227,0.3
3,2206.9622,0.8771639895831574,0.08490363086673927,0.1661971977054855,0.12425766327356454,0.0753155115354144,0.4
4,2114.8896,0.840569483557415,0.08144186055754724,0.17013546291998186,0.12088609558880582,0.08144186055754724,0.5
5,2039.718,0.8106922845383945,0.07928656502465534,0.17581385596166285,0.11925477138915656,0.0843225212836146,0.6
6,1978.4017,0.7863219362487529,0.07831527571322962,0.18426628282978919,0.11943733954651756,0.08333301537083701,0.7
7,1938.1017,0.7703045562139019,0.07955800563323556,0.19790742256748695,0.12253412541451375,0.07737702138032819,0.8
8,1966.5076,0.7815945632760695,0.08687656165955225,0.22721178036492945,0.13357676404647595,0.06229910732029157,0.90000004
