,RMSE,NRMSE,ND,MAPE,sMAPE,QuantileLoss,Quantile
0,2487.6838,0.9887376962740129,0.08893889290758156,0.11020042147841173,0.1207624369517295,0.029256636804688887,0.1
1,2148.5159,0.8539343297995327,0.07442497144961752,0.09468009859438932,0.09788933520509135,0.04436707577841194,0.2
2,1969.7281,0.7828745932558339,0.06881421186371067,0.09005871633003705,0.0888147778581328,0.054639496771355815,0.3
3,1848.2625,0.7345976728421333,0.06607036775012387,0.08958392790941666,0.08466082925350638,0.06127946783676865,0.4
4,1758.9583,0.6991034404729537,0.06489429071840977,0.09179831904862926,0.09071972831979247,0.06489429071840977,0.5
5,1686.91,0.6704676517216144,0.06496788578787133,0.0964444388505793,0.09922890279952447,0.06563962793088556,0.6
6,1628.8792,0.647403096058868,0.06639838581039366,0.10378597387689774,0.1019910333094975,0.06316920506726231,0.7
7,1597.4646,0.6349172849216805,0.07008891688725315,0.11603423025381648,0.10812452674366924,0.05645300249335591,0.8
8,1648.5996,0.6552410539571717,0.08023800155271686,0.14209737167396216,0.12328755145311676,0.04242229791496093,0.90000004
