,RMSE,NRMSE,ND,MAPE,sMAPE,QuantileLoss,Quantile
0,2527.4758,1.0045531476132727,0.09217260461628551,0.11282515216334238,0.12239285790824873,0.028847488626216538,0.1
1,2189.1067,0.8700672778672759,0.07691004046072766,0.09866246472583029,0.10027817358729242,0.044010066825117974,0.2
2,2011.8682,0.7996232734417286,0.070813685900748,0.09529631352763751,0.09192886900116082,0.05471058126194015,0.3
3,1892.7318,0.752272158739049,0.06768975736811843,0.09585127946646867,0.08802701121960912,0.06191235893726335,0.4
4,1800.2186,0.7155025055265972,0.06610874184889892,0.0987884825831982,0.09370111526726548,0.06610874184889892,0.5
5,1724.9763,0.6855972150335865,0.06571795931669859,0.1040933429095637,0.10112562656288672,0.06739453581450068,0.6
6,1662.4926,0.6607628479922311,0.06666414946357077,0.11231651885297379,0.1039146233500162,0.06546825276958583,0.7
7,1623.3378,0.6452006565739192,0.06984219786276209,0.12577700482522286,0.11016727253062504,0.059310962022029505,0.8
8,1660.6617,0.6600351866331549,0.07937412394708045,0.15404241065802407,0.12559300858561337,0.045837420476254824,0.90000004
