,Validation_loss,Training_loss
0,-0.30550582423994815,-0.8000627645617482
1,-0.4031535368176955,-1.0936781433283413
2,-0.4834379832955855,-1.1627404074672545
3,-0.5313372189485575,-1.2020186553808134
4,-0.5154986864403833,-1.2298754797221023
5,-0.5555893941016137,-1.2517695502304866
6,-0.5593699084807046,-1.2701098382518758
7,-0.5572235512582562,-1.2859253164963371
8,-0.5548286034336573,-1.3001627988268538
9,-0.6236688981327829,-1.3130195236340305
10,-0.6406378538548192,-1.3244042362524842
11,-0.6514943581593188,-1.3349877617259693
12,-0.6650961056540284,-1.3443408022611563
13,-0.669416543426393,-1.3524486337563617
14,-0.6594558784478828,-1.359772066829575
15,-0.7033597804323027,-1.366689649328784
16,-0.7182130700425257,-1.3733634956053282
17,-0.719850822340084,-1.3786920341104079
18,-0.7319538034970248,-1.38404883992376
19,-0.749050602128234,-1.3893534220604449
20,-0.7647175185288055,-1.3937935546013838
21,-0.7546888099441046,-1.3987296759883918
22,-0.769398392755774,-1.4033774455429069
23,-0.777536045901383,-1.4078791633664052
24,-0.7802511823328235,-1.4122207234026007
25,-0.7867430780507341,-1.4160947081741848
26,-0.7807496921925605,-1.419692744005358
27,-0.7762752575210378,-1.4230592704990925
28,-0.7714374691625184,-1.4263095661658352
29,-0.793963035450706,-1.429297080545252
30,-0.7895262550704086,-1.4321545830064641
31,-0.7747316511371468,-1.4349625197279505
32,-0.7701700473133521,-1.437658463227404
33,-0.796096652368956,-1.4402461069942833
34,-0.8042973815640316,-1.4423712412658665
35,-0.7597283509713185,-1.4445993920284248
36,-0.7763617151900183,-1.4468179588309327
37,-0.7999354653720614,-1.4485895123236436
38,-0.7965346650232242,-1.4509512009997791
39,-0.8097630165800264,-1.452810497914918
40,-0.7834519804278507,-1.4549173885884419
41,-0.7810966470573522,-1.4568542826349606
42,-0.7910325738448131,-1.4587995014838744
43,-0.7705180214930184,-1.4604484508157782
44,-0.7915256136580359,-1.4624736023766933
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
