,Validation_loss,Training_loss
0,-0.3364837922179585,-0.33716138504609844
1,-0.4458942881245522,-0.5118732423568425
2,-0.5066101953956732,-0.6117134567446673
3,-0.5334058407765285,-0.6355977212493691
4,-0.5443076908968056,-0.6727312684033395
5,-0.5633840952899046,-0.7031885409358406
6,-0.5795174572308353,-0.7251838687866923
7,-0.6030589666715853,-0.7455675955284871
8,-0.6226994765412276,-0.7561967950478782
9,-0.6024742384625089,-0.7683287695856996
10,-0.6006550369368997,-0.7767984023753735
11,-0.6369280173520374,-0.7777853072849199
12,-0.671504966772286,-0.7981941728447046
13,-0.6770305878417507,-0.8151644794042721
14,-0.6754848757746873,-0.8322879628756433
15,-0.714701014529368,-0.8459757948488581
16,-0.7262765776579547,-0.8602607698173463
17,-0.7277691106128085,-0.8740944310605075
18,-0.7469820418175618,-0.877288706225896
19,-0.7522552852418013,-0.8884835176262372
20,-0.7563751468992537,-0.887031375878365
21,-0.7699006184650834,-0.8951002000240423
22,-0.7669800770510534,-0.8997206796467511
23,-0.7616898269410346,-0.908863757995291
24,-0.7734949712161046,-0.9107971834408616
25,-0.7691783331761695,-0.9167206126166171
26,-0.7816178570887086,-0.926240446939292
27,-0.7854942034004601,-0.9312546950753392
28,-0.7951261655540224,-0.9352171471935831
29,-0.7912842061868899,-0.9407278419944674
30,-0.8012212101061633,-0.9430103182933798
31,-0.8097312962932951,-0.946305797610212
32,-0.8089922484318921,-0.9483682502823543
33,-0.8110301817298695,-0.9519129016442716
34,-0.8083306220686359,-0.9531872227938643
35,-0.8056888821398377,-0.9526265676128686
36,-0.8080011387919165,-0.9570348864459631
37,-0.8137633899214921,-0.9574539633256807
38,-0.8192493444795061,-0.9633076261325146
39,-0.8205461672916534,-0.9659337949908438
40,-0.8144061413540202,-0.9659547359571404
41,-0.821302345793718,-0.969409335011269
42,-0.8216393398251504,-0.9725562050322573
43,-0.8202221881432138,-0.9725757910857261
44,-0.8261736817420668,-0.9755647884400267
45,-0.823641108099822,-0.9774984520123707
46,-0.8214609326830336,-0.971202947753394
47,-0.8181253962076394,-0.9775158106960317
48,-0.8242107390598127,-0.9794517146645413
49,-0.8308106085677056,-0.982032808942586
50,-0.8372068940454228,-0.9818661924493072
51,-0.829546777306089,-0.9831526788831535
52,-0.8314340088018186,-0.9837405917934552
53,-0.8316709851003756,-0.9860462194789498
54,-0.8443595505064461,-0.9834577772138398
55,-0.8311315550925625,-0.9905549613359597
56,-0.8408592062391294,-0.9871054334065589
57,-0.8417212594846252,-0.9919549035294389
58,-0.8394733640798338,-0.9937933725888394
59,-0.8471166168808177,-0.9960946728382772
60,-0.8361738145731057,-0.9917931993532834
61,-0.8458397923761113,-0.9966246778583856
62,-0.847185576797291,-0.9958415961988022
63,-0.8546056018513479,-1.000508174176224
64,-0.8527163248153249,-0.9985097962931422
65,-0.8500440667389305,-0.9957034943176417
66,-0.8532908798023394,-0.9996451726189255
67,-0.8476558737694078,-0.995194560546477
68,-0.8383179428471121,-0.9855666798741507
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
