,Validation_loss,Training_loss
0,-0.8546121248716041,-1.2012950010749788
1,-0.8813184145130689,-1.5046007588662118
2,-0.5606517161749587,-1.5668279901318518
3,-0.899796412715429,-1.5987369958354227
4,-0.9325005902519709,-1.621117945976931
5,-0.7981076368802711,-1.6382007849378173
6,-0.8109984563875802,-1.6515461487449097
7,-0.7435191454766672,-1.6626207083730646
8,-0.9407254962981502,-1.6708364770148214
9,-0.9408638552774357,-1.677924190484138
10,-0.8339715735821784,-1.684100745643897
11,-0.9330480136448824,-1.6896097419327227
12,-0.9873043238362179,-1.6940462916349552
13,-0.9454660189302662,-1.6983443101348858
14,-0.9732364008698282,-1.7021047692790738
15,-0.9290548336656788,-1.7052300116092554
16,-0.9899351559107816,-1.708566433089085
17,-0.9509507259236106,-1.7112923826071684
18,-0.9640333561957637,-1.7138943876303583
19,-0.922254503527774,-1.7167722762683666
20,-0.9672381644007526,-1.7193285377549796
21,-1.0002960562705994,-1.7212522259324843
22,-1.0008336418791661,-1.7232070819538878
23,-0.9867271184921265,-1.7251221947514983
24,-0.987193966213661,-1.7272415734753146
25,-1.001814045483553,-1.728355142995162
26,-1.0033272980134698,-1.7306157512557394
27,-0.9677554180350485,-1.7316094873993177
28,-1.0045044588137277,-1.7334151704628082
29,-1.0087687297712398,-1.7346656648344416
30,-1.006729236131982,-1.735990617108644
31,-1.0198396964918208,-1.7374388512242076
32,-1.0045038831384876,-1.7382647132580622
33,-1.0042978193186507,-1.7397167227717962
34,-0.9829955349994611,-1.740875691167833
35,-1.015048740030844,-1.7420293074115512
36,-0.9930450403237645,-1.7431326677099286
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
