,RMSE,NRMSE,ND,MAPE,sMAPE,QuantileLoss,Quantile
0,2096.3708,0.8332091292341711,0.07936763221278051,0.10009701217149206,0.1007862550564001,0.02724831446755855,0.1
1,1854.897,0.7372345840880188,0.067797752005151,0.08805230921754618,0.08363446537577855,0.04066645601651285,0.2
2,1736.6495,0.6902367718267842,0.06313301033643082,0.08460771992335514,0.07728793355290771,0.04981169333577105,0.3
3,1658.0283,0.658988524511582,0.06079480025331012,0.08417257720146526,0.07456180749298415,0.05599750134471639,0.4
4,1600.6577,0.636186398525542,0.059661707776567756,0.08534773741209682,0.08172830979060973,0.059661707776567756,0.5
5,1558.9908,0.6196257711085351,0.05946157688200677,0.0879555005256337,0.09045471352032132,0.06090964433245099,0.6
6,1529.8906,0.6080597980635416,0.06030478692538215,0.0924490188477227,0.09256887178937835,0.05947356009358696,0.7
7,1523.6243,0.6055692147719817,0.06299076186463806,0.1003996552268259,0.0973006041217142,0.05457204235260451,0.8
8,1586.006,0.6303630214122045,0.07075828093576363,0.11817856042004486,0.10921627624651647,0.04359529799710124,0.90000004
